Date,Open,High,Low,Close,Volume
20171023,5275.0,5327.0,5235.0,5287.3,88707
20171024,5331.0,5335.0,5243.05,5252.8,83074
20171025,5278.0,5376.0,4906.2,4997.0,242390
20171026,4990.0,5067.0,4885.2,4982.0,233169
20171027,4988.8,5089.25,4988.8,5033.95,158840
20171030,5064.0,5075.0,4971.95,4994.85,110610
20171031,5015.0,5158.75,4881.0,5010.35,318607
20171101,5050.0,5099.0,5000.0,5022.6,99629
20171102,5068.0,5068.0,4970.0,4982.15,79540
20171103,4989.0,5082.2,4965.0,5032.6,123701
20171106,5030.0,5050.0,4992.0,5009.6,79496
20171107,5038.0,5038.0,4955.0,4981.0,101453
20171108,5005.0,5044.45,4950.0,5022.7,140928
20171109,5005.1,5094.0,4991.4,5006.75,139597
20171110,5021.0,5075.25,4990.0,5027.45,84973
20171113,5028.0,5050.0,4962.6,4998.35,84985
20171114,4978.35,5059.0,4964.5,5014.4,65822
20171115,5024.85,5049.0,4850.0,4902.65,116297
20171116,4949.0,5009.35,4905.05,4984.75,84334
20171117,5030.0,5195.65,5015.05,5129.75,227223
20171121,5200.0,5244.0,5115.0,5206.2,105469
20171122,5206.0,5221.0,5150.0,5176.35,104244
20171123,5188.0,5189.0,5101.0,5133.6,81941
20171124,5141.1,5191.0,5123.65,5160.6,67352
20171127,5159.0,5159.95,5121.0,5151.85,95340
20171128,5145.05,5274.8,5122.65,5240.2,153601
20171129,5260.0,5349.0,5224.85,5305.6,161851
20171130,5251.5,5290.0,5151.0,5214.1,282218
20171201,5213.75,5282.25,5060.0,5098.85,98823
20171204,5100.0,5137.0,5005.0,5056.8,131794
20171205,5051.05,5084.3,4982.8,5003.65,154886
20171206,4970.05,5032.95,4905.0,4964.65,208715
20171207,4940.0,5093.0,4940.0,5070.2,120619
20171208,5090.0,5147.7,5070.2,5125.1,141024
20171211,5159.0,5159.0,5059.65,5106.3,81543
20171212,5120.0,5129.0,5073.5,5109.7,118285
20171213,5114.85,5125.0,5001.15,5056.15,117002
20171214,5000.0,5132.0,5000.0,5116.25,161585
20171215,5160.0,5187.5,5111.5,5170.35,145700
20171218,5050.0,5233.8,5004.05,5210.6,99880
20171219,5255.0,5288.0,5201.2,5279.5,91737
20171220,5288.0,5340.0,5271.0,5312.7,100708
20171221,5340.0,5370.0,5315.1,5353.35,87711
20171222,5316.0,5444.9,5316.0,5428.15,116452
20171226,5431.9,5435.0,5355.0,5403.55,59737
20171227,5411.0,5418.8,5280.8,5326.3,78924
20171228,5291.0,5357.0,5266.35,5305.75,137276
20171229,5280.05,5330.0,5185.25,5230.4,78892
20180101,5208.0,5308.75,5151.6,5171.85,44899
20180102,5199.9,5229.0,5047.75,5101.1,79123
20180103,5139.35,5179.8,5088.8,5099.45,119413
20180104,5120.0,5135.0,5051.0,5062.55,79205
20180105,5098.8,5144.95,5076.1,5127.2,151818
20180108,5170.0,5253.0,5146.15,5221.25,181068
20180109,5230.0,5242.4,5105.0,5156.4,233510
20180110,5160.0,5272.6,5130.0,5199.55,260021
20180111,5198.0,5198.0,5135.0,5146.4,71160
20180112,5146.4,5170.0,5032.0,5057.3,224758
20180115,5052.0,5105.2,5001.1,5010.35,173185
20180116,5039.0,5060.0,4935.0,4956.8,124186
20180117,4950.0,5012.0,4890.4,4964.9,140637
20180118,5007.0,5045.0,4884.5,4922.6,211086
20180119,4920.0,5021.0,4842.35,4973.05,110406
20180122,5000.0,5064.95,4951.0,5051.45,104891
20180123,5042.0,5089.0,4987.6,5014.6,178301
20180124,5015.0,5072.8,4949.0,5014.45,88003
20180125,5025.0,5070.0,4900.0,4933.05,149077
20180129,4949.5,5010.0,4899.0,4912.4,100404
20180130,4925.0,4939.0,4860.0,4875.65,104332
20180131,4861.0,4863.45,4736.45,4812.35,220161
20180201,4811.05,5080.0,4770.0,5038.4,350858
20180202,5001.0,5148.1,4890.95,4935.75,375160
20180205,4810.0,4994.9,4763.05,4918.0,295940
20180206,4500.0,4949.0,4500.0,4904.6,263080
20180207,5009.0,5056.0,4927.55,5012.05,201435
20180208,5000.0,5174.0,4975.0,5057.25,154586
20180209,4989.9,5088.0,4961.2,5059.35,144600
20180212,5096.3,5244.0,5042.8,5235.45,141176
20180214,5260.0,5350.0,5152.3,5189.0,154547
20180215,5200.0,5291.0,5112.05,5130.35,104197
20180220,5030.0,5049.0,4976.2,5014.3,107899
20180221,5040.0,5050.25,4955.1,4973.45,100845
20180222,4989.0,5030.0,4925.15,4951.85,123453
20180223,4943.15,5057.0,4940.0,5019.65,136396
20180226,5051.0,5260.0,5030.05,5192.95,169230
20180227,5208.0,5227.5,5101.1,5121.35,82961
20180228,5090.0,5131.8,5030.2,5051.7,130485
20180301,5052.0,5087.9,4986.0,4999.4,84916
20180305,4999.4,5067.6,4952.2,5037.45,114133
20180306,5075.5,5097.95,4955.0,4980.65,86842
20180307,4980.0,4980.0,4806.0,4836.15,123770
20180308,4863.95,4889.0,4800.0,4864.6,102351
20180309,4893.4,4990.0,4845.0,4966.25,140074
20180312,5002.5,5077.85,4967.2,5040.05,107704
20180313,5039.0,5119.95,5016.6,5098.4,92570
20180314,5090.0,5134.4,5053.45,5111.6,78975
20180315,5111.5,5140.05,5020.05,5034.5,82293
20180316,4971.6,5085.0,4971.6,5011.35,178245
20180319,5020.0,5049.95,4932.25,4963.45,84292
20180320,4945.0,5090.0,4942.55,5080.85,107777
20180321,5090.0,5149.85,5090.0,5131.5,99953
20180322,5100.0,5135.45,5090.0,5119.85,73966
20180323,5058.9,5151.7,5040.0,5126.7,173772
20180326,5128.0,5187.85,5063.15,5151.05,126482
20180327,5180.0,5278.45,5111.0,5258.95,129719
20180328,5230.0,5299.0,5021.55,5171.55,1229462
20180402,5075.0,5295.0,5071.15,5267.4,239474
20180403,5269.0,5418.45,5232.6,5381.6,189750
20180404,5420.0,5445.6,5202.8,5228.55,188780
20180405,5333.0,5500.0,5315.0,5443.85,205387
20180406,5463.3,5513.95,5415.05,5484.25,121693
20180409,5488.0,5579.0,5454.55,5561.3,137636
20180410,5581.05,5585.95,5394.95,5412.9,157907
20180411,5439.05,5473.9,5340.0,5420.2,146251
20180412,5425.0,5454.0,5365.25,5420.75,79654
20180413,5438.0,5442.0,5293.55,5316.8,179869
20180416,5320.0,5397.0,5309.95,5386.15,80113
20180417,5410.0,5449.8,5390.0,5426.1,129734
20180418,5435.0,5456.9,5354.8,5371.85,83355
20180419,5375.1,5412.0,5360.05,5385.2,65288
20180420,5370.0,5389.9,5265.0,5286.35,157393
20180423,5298.85,5348.85,5256.65,5294.0,87805
20180424,5300.0,5454.0,5300.0,5427.65,142075
20180425,5443.0,5497.55,5381.25,5434.3,139298
20180426,5435.1,5479.5,5315.2,5339.25,161700
20180427,5358.0,5468.0,5358.0,5435.25,87173
20180430,5459.0,5534.9,5401.1,5482.6,93148
20180502,5480.0,5531.0,5394.0,5436.9,104324
20180503,5460.0,5470.0,5370.0,5402.05,91065
20180504,5402.0,5423.1,5318.2,5348.05,56689
20180507,5400.0,5429.85,5320.15,5401.3,57978
20180508,5410.0,5439.0,5320.0,5340.7,74472
20180509,5341.0,5394.0,5312.1,5349.5,45001
20180510,5355.0,5382.0,5225.0,5237.95,87163
20180511,5275.0,5364.75,5250.1,5345.45,62942
20180514,5343.7,5405.0,5320.55,5386.45,70870
20180515,5320.0,5439.3,5319.15,5397.5,129693
20180516,5350.0,5369.9,5301.0,5319.2,82453
20180517,5370.0,5608.95,5282.0,5569.25,393030
20180522,5715.0,6020.0,5682.15,5971.8,429138
20180523,5949.0,5960.0,5770.0,5790.05,162348
20180524,5820.0,5875.0,5703.7,5826.4,154493
20180525,5864.0,6097.3,5850.0,6071.7,316608
20180528,6080.0,6121.0,5980.15,6009.35,151343
20180529,6009.35,6055.0,5865.1,5887.85,117673
20180530,5848.65,5995.3,5815.0,5958.85,197976
20180531,5995.0,6156.9,5930.8,6042.25,264768
20180601,6069.0,6069.0,5850.0,5882.2,153804
20180604,5802.25,5914.4,5730.0,5748.55,103183
20180605,5779.95,5818.0,5682.6,5770.95,137632
20180606,5807.0,5929.9,5777.35,5914.75,123156
20180607,5939.0,6040.0,5907.05,6014.25,147187
20180608,5997.8,6047.4,5926.0,6025.5,183674
20180611,6015.0,6148.0,5993.1,6068.95,148193
20180612,6120.0,6120.0,6045.3,6078.55,106911
20180613,6078.0,6108.0,6015.1,6074.8,93790
20180614,6070.0,6070.0,5991.3,6028.0,65910
20180615,6025.0,6033.25,5930.35,5979.1,251127
20180618,5965.9,6073.25,5962.6,5995.75,97677
20180619,5975.0,5991.75,5901.0,5913.2,124685
20180620,5936.95,5969.9,5908.55,5947.55,149334
20180621,5959.0,6034.0,5950.6,5991.55,229623
20180622,5999.55,6190.0,5991.0,6176.5,242597
20180625,6200.0,6293.6,6146.0,6165.65,262420
20180626,6174.9,6207.5,6061.0,6084.35,164996
20180627,6089.0,6119.0,5940.0,5975.1,120421
20180628,5980.0,5980.0,5760.05,5848.0,212176
20180629,5870.0,5932.7,5808.0,5821.1,153569
20180702,5860.0,5880.0,5750.45,5778.3,113658
20180703,5777.8,5899.0,5759.8,5885.2,162273
20180704,5897.0,6049.0,5877.9,6032.85,192202
20180705,6045.0,6133.45,6045.0,6069.0,199187
20180706,6080.0,6159.85,6000.0,6058.55,168049
20180709,6090.0,6165.0,6052.65,6124.7,100337
20180710,6160.0,6215.0,6126.25,6199.8,129972
20180711,6198.0,6198.0,6101.75,6114.25,101277
20180712,6125.0,6290.0,6120.05,6261.3,224323
20180713,6297.9,6348.0,6248.0,6324.45,182684
20180716,6330.0,6350.6,6216.0,6247.85,131475
20180717,6225.0,6367.0,6212.45,6346.05,105454
20180718,6390.0,6430.0,6345.0,6365.7,168066
20180719,6377.0,6377.0,6120.45,6296.9,294030
20180720,6319.0,6782.0,6200.0,6663.95,968973
20180723,6631.0,6990.0,6631.0,6923.1,601600
20180724,6948.0,6948.0,6771.1,6827.7,279282
20180725,6850.0,7080.0,6835.4,6949.5,431627
20180726,6959.0,7088.0,6951.4,7035.3,262679
20180727,7098.65,7100.0,6893.55,6927.2,195800
20180730,6964.0,6978.65,6861.05,6895.85,121952
20180731,6922.0,7015.0,6855.0,6977.3,131814
20180801,7039.7,7173.2,6941.0,6990.15,303720
20180802,7037.95,7039.0,6890.0,6903.35,123608
20180803,6960.0,6983.95,6879.15,6943.15,141430
20180806,6985.0,6995.0,6908.0,6919.05,98437
20180807,6933.0,7020.0,6905.6,6994.2,139986
20180808,7038.0,7099.9,6980.05,7051.6,198751
20180809,7051.6,7120.0,7000.0,7075.1,110927
20180810,7072.7,7134.65,6996.35,7083.85,139036
20180813,7029.25,7076.35,6928.8,6945.45,91832
20180814,6955.0,7130.45,6955.0,7112.7,246253
20180816,7090.0,7200.0,7046.1,7076.0,207567
20180820,7129.0,7159.9,7050.0,7063.6,91898
20180821,7104.0,7130.0,7012.2,7116.6,144611
20180823,7170.0,7185.0,7075.1,7092.1,137409
20180824,7092.0,7129.0,7025.25,7050.65,128111
20180827,7089.2,7112.45,7014.05,7030.15,136724
20180828,7074.0,7074.0,6935.95,6971.45,145321
20180829,6975.0,7042.0,6900.5,6968.55,177432
20180830,6969.0,6993.7,6900.0,6929.9,167502
20180831,6940.0,6968.4,6725.0,6747.8,223887
20180903,6770.0,6840.0,6625.0,6652.9,196221
20180904,6660.0,6673.8,6480.05,6508.2,391449
20180905,6500.0,6559.15,6401.0,6503.05,182931
20180906,6520.0,6574.9,6458.9,6547.3,155679
20180907,6600.0,6639.3,6505.0,6600.1,115576
20180910,6580.0,6581.0,6315.0,6347.45,238799
20180911,6351.1,6479.2,6252.0,6362.15,358140
20180912,6351.0,6474.0,6320.0,6412.95,193742
20180914,6479.0,6799.0,6402.0,6709.65,265042
20180917,6691.2,6699.95,6530.0,6549.95,165064
20180918,6570.0,6635.6,6495.0,6527.6,222470
20180919,6555.0,6580.0,6281.05,6312.05,207789
20180921,6362.0,6445.0,5366.0,6259.7,681976
20180924,6305.6,6307.0,6007.85,6067.65,510326
20180925,6060.0,6250.0,5932.05,6185.65,345421
20180926,6207.0,6289.0,6188.0,6212.55,164588
20180927,6219.0,6240.0,5955.1,5979.8,276735
20180928,5987.0,6059.5,5885.0,6006.2,254770
20181001,6000.0,6040.0,5771.0,5881.85,276252
20181003,5908.0,5949.0,5701.0,5752.5,312920
20181004,5660.0,5730.0,5524.75,5632.1,209825
20181005,5614.0,5721.0,5222.9,5375.65,252881
20181008,5350.0,5500.0,5230.4,5395.55,271315
20181009,5412.0,5580.0,5275.3,5429.1,216160
20181010,5455.0,6014.0,5430.0,5961.5,514698
20181011,5685.0,5775.0,5551.0,5592.0,319463
20181012,5698.5,5910.2,5680.1,5813.55,297224
20181015,5815.0,5815.0,5611.0,5634.25,174947
20181016,5657.0,5749.95,5565.55,5657.1,219586
20181017,5700.0,5740.0,5350.0,5380.25,301825
20181019,5370.0,5514.05,5240.05,5419.2,296640
20181022,5470.0,5511.0,5206.5,5250.2,211210
20181023,5250.0,5285.0,5055.0,5167.75,456251
20181024,5200.0,5448.5,4955.0,5391.45,1105550
20181025,5299.0,5462.05,5257.25,5367.65,345421
20181026,5380.0,5434.0,5258.0,5399.2,290536
20181029,5415.0,5491.05,5353.2,5409.85,291708
20181030,5420.0,5455.0,5322.55,5391.15,291037
20181031,5413.0,5436.0,5241.0,5404.65,355131
20181101,5420.0,5467.0,5370.65,5386.5,193618
20181102,5395.0,5623.8,5395.0,5525.3,414185
20181105,5560.0,5653.3,5501.65,5569.6,203187
20181106,5598.8,5689.8,5564.95,5591.0,208350
20181107,5645.0,5645.0,5600.0,5628.2,17624
20181109,5680.0,5725.0,5595.65,5701.4,236068
20181112,5705.0,5783.0,5516.5,5549.1,165617
20181113,5541.0,5609.35,5536.05,5571.7,148588
20181114,5606.0,5648.0,5560.0,5577.65,137523
20181116,5640.0,5730.0,5612.7,5695.65,141140
20181119,5720.0,5765.0,5650.0,5725.95,98362
20181120,5715.0,5764.7,5648.0,5688.55,122296
20181121,5690.0,5872.6,5690.0,5851.95,214025
20181122,5870.0,5926.25,5700.0,5723.05,198644
20181126,5730.2,5824.8,5684.5,5737.9,203676
20181127,5740.0,5910.0,5730.0,5880.35,182540
20181128,5910.0,5917.1,5792.55,5818.45,128949
20181129,5850.0,6050.0,5843.0,6010.75,263956
20181130,6019.7,6100.0,5960.0,5994.35,358307
20181203,6060.0,6088.35,5975.05,5999.3,159769
20181204,6020.0,6090.0,6004.35,6070.2,166285
20181205,6070.0,6070.0,5838.75,5902.5,159561
20181206,5902.0,5910.0,5631.55,5667.5,192895
20181207,5708.4,5875.55,5668.5,5849.9,220039
20181210,5612.0,5788.0,5612.0,5693.95,245845
20181211,5643.0,5870.0,5623.1,5827.15,231580
20181212,5851.0,6023.6,5851.0,5989.0,156702
20181213,6050.0,6228.0,6020.1,6159.4,272548
20181214,6179.9,6208.2,6101.3,6177.65,168709
20181217,6175.05,6199.0,6050.0,6087.8,153950
20181218,6090.0,6165.0,6076.7,6152.65,151411
20181219,6190.0,6425.0,6188.1,6405.45,355577
20181220,6330.05,6421.0,6302.15,6404.95,187601
20181221,6447.0,6500.0,6296.1,6360.1,309851
20181224,6360.75,6393.95,6260.0,6274.45,132247
